"Job_Role","Company","Location","Job Type","Salary","Experience Required","Date","Job Portal","Education Requirement","Skills","Remote/Onsite","Company Size"
"Financial Analyst","Infosys","Jaipur","Part-time","1600000.0","5-10 years","2024-12-31","LinkedIn","M.Tech","Python, SQL, UI/UX","Hybrid","Medium (51-500)"
"Financial Analyst","Deloitte","Bangalore","Part-time","650000.0","0-2 years","2025-01-19","Naukri.com","B.Sc","Python, AWS, Machine Learning","Onsite","Medium (51-500)"
"HR Manager","Microsoft","Bangalore","Full-time","1000000.0","0-2 years","2025-01-12","Indeed","MBA","React, Digital Marketing, AWS","Hybrid","Medium (51-500)"
"HR Manager","HCL","Ahmedabad","Full-time","400000.0","10+ years","2025-01-08","Indeed","B.Tech","Python, SQL, Java","Remote","Medium (51-500)"
"Cyber Security Analyst","HCL","Chennai","Internship","1000000.0","2-5 years","2025-01-12","Indeed","M.Tech","Digital Marketing, Excel, React","Onsite","Medium (51-500)"
"Cyber Security Analyst","IBM","Kolkata","Full-time","1000000.0","2-5 years","2025-01-15","Naukri.com","B.Tech","Digital Marketing, Python, C++","Onsite","Large (500+)"
"Financial Analyst","Google","Mumbai","Full-time","1000000.0","0-2 years","2025-01-21","LinkedIn","MBA","SQL, Digital Marketing, React","Remote","Large (500+)"
"Financial Analyst","Wipro","Delhi","Full-time","2000000.0","0-2 years","2025-01-04","Naukri.com","B.Sc","AWS, Python, React","Hybrid","Medium (51-500)"
"Marketing Executive","Google","Chennai","Contract","2000000.0","10+ years","2025-01-16","LinkedIn","B.Sc","Java, UI/UX, C++","Onsite","Large (500+)"
"Data Scientist","Deloitte","Noida","Part-time","1600000.0","0-2 years","2025-01-16","Indeed","PhD","Excel, Java, Digital Marketing","Hybrid","Medium (51-500)"
"Software Engineer","Wipro","Jaipur","Full-time","1600000.0","5-10 years","2025-01-05","Indeed","B.Tech","C++, Excel, React","Remote","Small (1-50)"
"Marketing Executive","TCS","Pune","Full-time","650000.0","0-2 years","2025-01-02","LinkedIn","B.Sc","Machine Learning, UI/UX, Digital Marketing","Remote","Large (500+)"
"Sales Representative","Microsoft","Delhi","Full-time","1600000.0","2-5 years","2025-01-02","LinkedIn","B.Tech","AWS, SQL, React","Hybrid","Small (1-50)"
"HR Manager","Microsoft","Hyderabad","Full-time","1600000.0","2-5 years","2024-12-30","LinkedIn","B.Tech","Java, Excel, React","Hybrid","Small (1-50)"
"Marketing Executive","Infosys","Ahmedabad","Contract","400000.0","2-5 years","2025-01-01","LinkedIn","B.Tech","Python, SQL, Machine Learning","Remote","Large (500+)"
"Graphic Designer","Infosys","Noida","Internship","650000.0","2-5 years","2024-12-26","Naukri.com","B.Tech","AWS, Java, Machine Learning","Onsite","Medium (51-500)"
"Marketing Executive","Amazon","Hyderabad","Contract","650000.0","0-2 years","2024-12-26","LinkedIn","M.Tech","UI/UX, Python, Machine Learning","Remote","Small (1-50)"
"Marketing Executive","Microsoft","Bangalore","Part-time","650000.0","10+ years","2025-01-19","Indeed","PhD","React, SQL, Java","Hybrid","Small (1-50)"
"Financial Analyst","Google","Chennai","Internship","1600000.0","5-10 years","2025-01-19","Indeed","MBA","AWS, Digital Marketing, Python","Onsite","Small (1-50)"
"Sales Representative","Microsoft","Bangalore","Part-time","400000.0","5-10 years","2025-01-22","Indeed","B.Sc","Python, Excel, Java","Hybrid","Large (500+)"
"Business Analyst","Microsoft","Jaipur","Part-time","2000000.0","0-2 years","2025-01-17","Naukri.com","MBA","SQL, React, UI/UX","Remote","Large (500+)"
"Business Analyst","Deloitte","Mumbai","Full-time","400000.0","0-2 years","2025-01-07","Naukri.com","M.Tech","AWS, UI/UX, React","Hybrid","Small (1-50)"
"Cyber Security Analyst","Google","Kolkata","Internship","2000000.0","2-5 years","2024-12-28","Indeed","PhD","Digital Marketing, Java, React","Remote","Medium (51-500)"
"Software Engineer","Google","Noida","Contract","1000000.0","0-2 years","2024-12-23","Naukri.com","M.Tech","Python, React, Java","Onsite","Large (500+)"
"HR Manager","TCS","Kolkata","Full-time","400000.0","2-5 years","2024-12-25","LinkedIn","M.Tech","UI/UX, Excel, Java","Hybrid","Small (1-50)"
"Marketing Executive","Accenture","Pune","Contract","650000.0","0-2 years","2025-01-16","LinkedIn","PhD","UI/UX, Python, Excel","Onsite","Large (500+)"
"Graphic Designer","IBM","Mumbai","Full-time","2000000.0","0-2 years","2025-01-02","Naukri.com","M.Tech","Python, UI/UX, Java","Remote","Medium (51-500)"
"Product Manager","HCL","Bangalore","Part-time","650000.0","0-2 years","2025-01-12","Indeed","PhD","C++, React, UI/UX","Onsite","Large (500+)"
"Graphic Designer","Infosys","Ahmedabad","Contract","2000000.0","5-10 years","2025-01-05","Indeed","PhD","C++, Digital Marketing, Excel","Hybrid","Small (1-50)"
"Graphic Designer","Amazon","Jaipur","Contract","1600000.0","2-5 years","2025-01-19","Naukri.com","M.Tech","C++, Java, Python","Hybrid","Small (1-50)"
"Cyber Security Analyst","Wipro","Chennai","Full-time","1000000.0","2-5 years","2025-01-01","Indeed","PhD","Python, Digital Marketing, AWS","Onsite","Small (1-50)"
"Graphic Designer","TCS","Pune","Internship","650000.0","10+ years","2025-01-02","Naukri.com","B.Tech","Digital Marketing, Java, UI/UX","Onsite","Medium (51-500)"
"Graphic Designer","Infosys","Mumbai","Contract","650000.0","0-2 years","2025-01-19","LinkedIn","M.Tech","C++, Java, Python","Hybrid","Large (500+)"
"Product Manager","IBM","Hyderabad","Internship","650000.0","2-5 years","2025-01-18","Naukri.com","B.Sc","Machine Learning, UI/UX, React","Hybrid","Medium (51-500)"
"HR Manager","Google","Ahmedabad","Full-time","1000000.0","10+ years","2025-01-15","Indeed","PhD","Java, Python, C++","Onsite","Small (1-50)"
"Product Manager","Accenture","Ahmedabad","Internship","2000000.0","5-10 years","2024-12-28","Naukri.com","PhD","React, Machine Learning, UI/UX","Remote","Large (500+)"
"Graphic Designer","Deloitte","Delhi","Part-time","650000.0","10+ years","2025-01-01","LinkedIn","MBA","UI/UX, AWS, Java","Hybrid","Large (500+)"
"Software Engineer","Infosys","Bangalore","Part-time","1000000.0","5-10 years","2025-01-02","Naukri.com","MBA","Machine Learning, AWS, Excel","Hybrid","Medium (51-500)"
"Product Manager","TCS","Pune","Full-time","1600000.0","0-2 years","2025-01-12","LinkedIn","PhD","React, SQL, C++","Onsite","Large (500+)"
"Software Engineer","Microsoft","Hyderabad","Internship","1600000.0","5-10 years","2024-12-23","Indeed","PhD","AWS, Python, SQL","Remote","Large (500+)"
"Product Manager","Amazon","Kolkata","Full-time","1600000.0","5-10 years","2025-01-05","Indeed","B.Sc","Python, SQL, React","Hybrid","Small (1-50)"
"Sales Representative","Accenture","Delhi","Part-time","1600000.0","2-5 years","2024-12-25","Indeed","B.Sc","SQL, Machine Learning, UI/UX","Hybrid","Small (1-50)"
"Business Analyst","Microsoft","Delhi","Contract","1000000.0","2-5 years","2024-12-25","Indeed","M.Tech","SQL, Machine Learning, Python","Remote","Large (500+)"
"HR Manager","Google","Mumbai","Part-time","400000.0","10+ years","2024-12-27","Naukri.com","MBA","UI/UX, Digital Marketing, React","Hybrid","Medium (51-500)"
"Cyber Security Analyst","Google","Kolkata","Part-time","400000.0","5-10 years","2025-01-08","LinkedIn","M.Tech","UI/UX, React, Excel","Hybrid","Large (500+)"
"Product Manager","Amazon","Delhi","Full-time","650000.0","2-5 years","2024-12-23","Naukri.com","MBA","SQL, UI/UX, React","Onsite","Small (1-50)"
"Graphic Designer","Google","Mumbai","Internship","1000000.0","2-5 years","2025-01-05","Indeed","B.Tech","Digital Marketing, C++, SQL","Remote","Medium (51-500)"
"Product Manager","Microsoft","Ahmedabad","Contract","650000.0","0-2 years","2025-01-03","LinkedIn","B.Tech","Machine Learning, C++, UI/UX","Hybrid","Large (500+)"
"Software Engineer","Wipro","Noida","Contract","1600000.0","10+ years","2024-12-24","LinkedIn","B.Sc","C++, SQL, Digital Marketing","Remote","Small (1-50)"
"Software Engineer","HCL","Delhi","Full-time","650000.0","10+ years","2024-12-30","LinkedIn","PhD","Python, C++, React","Onsite","Medium (51-500)"
"Data Scientist","Wipro","Chennai","Internship","650000.0","2-5 years","2025-01-02","Naukri.com","MBA","React, AWS, SQL","Onsite","Large (500+)"
"Product Manager","Microsoft","Bangalore","Contract","1000000.0","2-5 years","2024-12-29","Indeed","B.Tech","SQL, React, UI/UX","Remote","Medium (51-500)"
"Financial Analyst","Infosys","Noida","Contract","1000000.0","5-10 years","2025-01-14","LinkedIn","MBA","Excel, Python, Digital Marketing","Hybrid","Large (500+)"
"Graphic Designer","Amazon","Bangalore","Contract","400000.0","0-2 years","2024-12-28","LinkedIn","B.Tech","Machine Learning, React, UI/UX","Onsite","Small (1-50)"
"Software Engineer","TCS","Mumbai","Full-time","2000000.0","0-2 years","2024-12-23","Naukri.com","PhD","React, AWS, Digital Marketing","Remote","Small (1-50)"
"Product Manager","Google","Bangalore","Part-time","1000000.0","0-2 years","2025-01-15","LinkedIn","MBA","Digital Marketing, C++, Java","Remote","Large (500+)"
"Business Analyst","Deloitte","Kolkata","Part-time","1000000.0","0-2 years","2025-01-09","Naukri.com","PhD","Excel, Java, UI/UX","Onsite","Small (1-50)"
"Software Engineer","HCL","Mumbai","Internship","1600000.0","5-10 years","2025-01-05","Naukri.com","MBA","AWS, SQL, C++","Onsite","Large (500+)"
"Cyber Security Analyst","Wipro","Bangalore","Part-time","1000000.0","10+ years","2025-01-08","Naukri.com","MBA","Python, Machine Learning, React","Remote","Large (500+)"
"Software Engineer","Wipro","Chennai","Full-time","400000.0","2-5 years","2025-01-20","LinkedIn","MBA","Python, C++, Excel","Remote","Large (500+)"
"Product Manager","Accenture","Chennai","Part-time","1000000.0","10+ years","2025-01-17","Naukri.com","PhD","Java, Digital Marketing, SQL","Onsite","Small (1-50)"
"Product Manager","IBM","Jaipur","Internship","1600000.0","0-2 years","2024-12-25","LinkedIn","PhD","Machine Learning, Python, C++","Remote","Small (1-50)"
"HR Manager","IBM","Jaipur","Internship","1000000.0","0-2 years","2025-01-12","LinkedIn","MBA","Digital Marketing, Excel, Python","Onsite","Medium (51-500)"
"Graphic Designer","HCL","Mumbai","Internship","1000000.0","10+ years","2024-12-28","Indeed","PhD","UI/UX, Excel, AWS","Remote","Small (1-50)"
"Financial Analyst","Wipro","Ahmedabad","Contract","1600000.0","0-2 years","2024-12-27","Naukri.com","B.Tech","Machine Learning, SQL, AWS","Onsite","Small (1-50)"
"HR Manager","TCS","Ahmedabad","Contract","650000.0","0-2 years","2025-01-12","Indeed","B.Tech","Java, React, Digital Marketing","Hybrid","Small (1-50)"
"Graphic Designer","Wipro","Hyderabad","Contract","2000000.0","10+ years","2024-12-27","Naukri.com","MBA","React, UI/UX, Machine Learning","Onsite","Large (500+)"
"Cyber Security Analyst","Deloitte","Noida","Internship","1000000.0","2-5 years","2025-01-14","Naukri.com","MBA","Digital Marketing, Excel, React","Remote","Large (500+)"
"Product Manager","HCL","Jaipur","Part-time","1000000.0","2-5 years","2025-01-05","LinkedIn","MBA","Excel, Machine Learning, Java","Remote","Small (1-50)"
"Data Scientist","Wipro","Jaipur","Internship","1600000.0","5-10 years","2025-01-04","LinkedIn","B.Sc","Digital Marketing, Java, React","Remote","Small (1-50)"
"Business Analyst","Google","Jaipur","Part-time","400000.0","10+ years","2025-01-11","Indeed","M.Tech","SQL, Excel, C++","Remote","Small (1-50)"
"Software Engineer","Infosys","Bangalore","Full-time","650000.0","0-2 years","2024-12-29","LinkedIn","M.Tech","Java, UI/UX, React","Remote","Medium (51-500)"
"Financial Analyst","Google","Ahmedabad","Full-time","400000.0","5-10 years","2024-12-23","LinkedIn","B.Sc","UI/UX, Digital Marketing, Java","Onsite","Small (1-50)"
"Business Analyst","Amazon","Noida","Part-time","400000.0","10+ years","2025-01-12","Indeed","B.Tech","C++, Java, SQL","Hybrid","Medium (51-500)"
"Cyber Security Analyst","Google","Kolkata","Internship","1000000.0","0-2 years","2025-01-19","LinkedIn","MBA","Machine Learning, AWS, Excel","Remote","Large (500+)"
"HR Manager","Deloitte","Jaipur","Full-time","1600000.0","0-2 years","2025-01-04","Indeed","B.Sc","UI/UX, React, SQL","Onsite","Large (500+)"
"HR Manager","Google","Noida","Part-time","1600000.0","10+ years","2024-12-25","Naukri.com","PhD","AWS, C++, Digital Marketing","Hybrid","Medium (51-500)"
"Software Engineer","Infosys","Pune","Contract","400000.0","5-10 years","2025-01-16","Naukri.com","PhD","Python, AWS, UI/UX","Onsite","Medium (51-500)"
"HR Manager","Infosys","Jaipur","Internship","650000.0","10+ years","2025-01-04","Indeed","PhD","Python, Java, React","Remote","Large (500+)"
"Product Manager","IBM","Chennai","Internship","1000000.0","10+ years","2024-12-26","LinkedIn","B.Sc","Java, SQL, AWS","Hybrid","Large (500+)"
"HR Manager","IBM","Noida","Part-time","400000.0","2-5 years","2025-01-17","Indeed","M.Tech","Java, Python, UI/UX","Onsite","Large (500+)"
"Cyber Security Analyst","Wipro","Delhi","Contract","1600000.0","2-5 years","2024-12-28","Indeed","M.Tech","SQL, Digital Marketing, React","Onsite","Large (500+)"
"Product Manager","Google","Delhi","Internship","1600000.0","10+ years","2025-01-19","Indeed","PhD","Python, Digital Marketing, UI/UX","Hybrid","Large (500+)"
"HR Manager","TCS","Bangalore","Full-time","1600000.0","5-10 years","2025-01-18","Naukri.com","B.Tech","Digital Marketing, AWS, SQL","Onsite","Medium (51-500)"
"Business Analyst","Accenture","Bangalore","Part-time","2000000.0","5-10 years","2024-12-26","Naukri.com","PhD","Python, UI/UX, SQL","Onsite","Medium (51-500)"
"Software Engineer","IBM","Kolkata","Contract","400000.0","10+ years","2025-01-13","LinkedIn","B.Tech","SQL, UI/UX, C++","Remote","Medium (51-500)"
"Financial Analyst","Amazon","Hyderabad","Contract","400000.0","5-10 years","2025-01-20","Naukri.com","B.Tech","React, UI/UX, SQL","Remote","Medium (51-500)"
"Graphic Designer","HCL","Mumbai","Contract","400000.0","0-2 years","2024-12-31","Indeed","MBA","Python, UI/UX, SQL","Remote","Large (500+)"
"Business Analyst","Microsoft","Chennai","Part-time","1600000.0","2-5 years","2024-12-25","Naukri.com","M.Tech","React, Digital Marketing, UI/UX","Hybrid","Small (1-50)"
"Graphic Designer","Amazon","Kolkata","Part-time","650000.0","2-5 years","2024-12-31","Naukri.com","B.Tech","Python, React, Machine Learning","Remote","Small (1-50)"
"Cyber Security Analyst","IBM","Noida","Contract","1000000.0","2-5 years","2024-12-24","LinkedIn","B.Sc","Excel, UI/UX, Python","Hybrid","Large (500+)"
"Business Analyst","Google","Noida","Full-time","2000000.0","2-5 years","2024-12-30","Indeed","PhD","React, UI/UX, C++","Hybrid","Small (1-50)"
"Financial Analyst","Infosys","Kolkata","Part-time","400000.0","2-5 years","2024-12-24","Naukri.com","B.Tech","Java, Python, SQL","Remote","Large (500+)"
"Product Manager","IBM","Delhi","Part-time","650000.0","5-10 years","2025-01-12","LinkedIn","PhD","SQL, Python, React","Hybrid","Small (1-50)"
"Cyber Security Analyst","Amazon","Noida","Contract","400000.0","10+ years","2024-12-23","Naukri.com","M.Tech","UI/UX, Java, React","Hybrid","Small (1-50)"
"Cyber Security Analyst","Amazon","Ahmedabad","Part-time","1000000.0","0-2 years","2024-12-25","Indeed","PhD","Python, C++, Java","Onsite","Small (1-50)"
"Cyber Security Analyst","TCS","Hyderabad","Part-time","1000000.0","10+ years","2024-12-31","LinkedIn","M.Tech","Excel, Python, React","Hybrid","Small (1-50)"
"Sales Representative","Amazon","Chennai","Part-time","1000000.0","0-2 years","2025-01-10","Indeed","PhD","Java, AWS, UI/UX","Remote","Medium (51-500)"
"Marketing Executive","Accenture","Kolkata","Part-time","1000000.0","10+ years","2024-12-27","Naukri.com","M.Tech","Python, Java, Machine Learning","Onsite","Medium (51-500)"
"Financial Analyst","Wipro","Kolkata","Full-time","1600000.0","10+ years","2025-01-07","Naukri.com","B.Tech","SQL, UI/UX, Excel","Remote","Large (500+)"
"Graphic Designer","Accenture","Noida","Part-time","1600000.0","2-5 years","2025-01-16","Naukri.com","M.Tech","SQL, C++, Python","Onsite","Small (1-50)"
"Financial Analyst","Wipro","Pune","Full-time","2000000.0","5-10 years","2025-01-11","LinkedIn","B.Sc","Excel, AWS, Machine Learning","Remote","Small (1-50)"
"Business Analyst","Google","Bangalore","Part-time","1600000.0","2-5 years","2025-01-06","LinkedIn","B.Tech","UI/UX, SQL, Machine Learning","Hybrid","Small (1-50)"
"Sales Representative","Deloitte","Bangalore","Internship","1600000.0","5-10 years","2025-01-22","Indeed","B.Sc","C++, Excel, React","Hybrid","Small (1-50)"
"HR Manager","Google","Delhi","Full-time","400000.0","0-2 years","2025-01-15","Naukri.com","M.Tech","SQL, React, Python","Onsite","Small (1-50)"
"Data Scientist","Accenture","Ahmedabad","Full-time","2000000.0","10+ years","2025-01-19","LinkedIn","PhD","AWS, Java, Machine Learning","Remote","Large (500+)"
"Cyber Security Analyst","TCS","Pune","Contract","650000.0","10+ years","2025-01-05","LinkedIn","PhD","Java, SQL, AWS","Hybrid","Large (500+)"
"Product Manager","Accenture","Delhi","Part-time","650000.0","10+ years","2024-12-25","Naukri.com","B.Sc","Machine Learning, Excel, Java","Hybrid","Medium (51-500)"
"Cyber Security Analyst","Microsoft","Kolkata","Internship","400000.0","5-10 years","2025-01-19","LinkedIn","PhD","Python, Digital Marketing, AWS","Remote","Large (500+)"
"Financial Analyst","HCL","Kolkata","Contract","2000000.0","2-5 years","2025-01-09","Naukri.com","MBA","AWS, Python, Excel","Hybrid","Medium (51-500)"
"Cyber Security Analyst","IBM","Bangalore","Internship","1000000.0","5-10 years","2025-01-05","LinkedIn","MBA","Excel, Java, Digital Marketing","Onsite","Large (500+)"
"Software Engineer","Amazon","Delhi","Contract","650000.0","10+ years","2025-01-07","Indeed","B.Sc","React, Java, UI/UX","Onsite","Medium (51-500)"
"Marketing Executive","Deloitte","Bangalore","Internship","1000000.0","5-10 years","2025-01-15","LinkedIn","B.Tech","Python, AWS, SQL","Hybrid","Small (1-50)"
"Marketing Executive","Infosys","Hyderabad","Contract","650000.0","5-10 years","2024-12-25","LinkedIn","MBA","SQL, Java, Digital Marketing","Hybrid","Large (500+)"
"Cyber Security Analyst","HCL","Ahmedabad","Internship","2000000.0","0-2 years","2024-12-27","Indeed","PhD","Java, UI/UX, C++","Onsite","Large (500+)"
"Financial Analyst","Infosys","Mumbai","Part-time","2000000.0","2-5 years","2024-12-23","LinkedIn","B.Tech","Digital Marketing, AWS, Java","Hybrid","Medium (51-500)"
"Software Engineer","Amazon","Hyderabad","Contract","650000.0","2-5 years","2024-12-28","Naukri.com","M.Tech","Machine Learning, UI/UX, Python","Hybrid","Small (1-50)"
"Software Engineer","IBM","Ahmedabad","Full-time","1000000.0","2-5 years","2025-01-13","LinkedIn","MBA","Java, SQL, Excel","Onsite","Large (500+)"
"Cyber Security Analyst","HCL","Bangalore","Part-time","1000000.0","0-2 years","2025-01-21","LinkedIn","B.Tech","SQL, Java, Excel","Hybrid","Small (1-50)"
"Cyber Security Analyst","Google","Pune","Internship","650000.0","2-5 years","2025-01-09","LinkedIn","M.Tech","C++, UI/UX, AWS","Hybrid","Large (500+)"
"Cyber Security Analyst","Google","Ahmedabad","Part-time","1600000.0","0-2 years","2025-01-22","Indeed","B.Sc","SQL, C++, UI/UX","Hybrid","Large (500+)"
"Data Scientist","Deloitte","Jaipur","Contract","650000.0","2-5 years","2025-01-04","Naukri.com","B.Tech","SQL, React, Java","Remote","Medium (51-500)"
"Graphic Designer","Amazon","Chennai","Internship","650000.0","5-10 years","2025-01-09","Naukri.com","M.Tech","Digital Marketing, Java, React","Hybrid","Medium (51-500)"
"Marketing Executive","Accenture","Ahmedabad","Full-time","2000000.0","0-2 years","2025-01-07","Naukri.com","PhD","C++, Java, React","Remote","Small (1-50)"
"Business Analyst","Google","Bangalore","Part-time","1000000.0","5-10 years","2025-01-04","Indeed","MBA","Python, Machine Learning, Excel","Onsite","Small (1-50)"
"Financial Analyst","Deloitte","Bangalore","Part-time","400000.0","10+ years","2024-12-27","Naukri.com","MBA","UI/UX, React, Python","Remote","Small (1-50)"
"Product Manager","Accenture","Pune","Internship","1000000.0","5-10 years","2024-12-25","Indeed","M.Tech","Java, Digital Marketing, AWS","Remote","Medium (51-500)"
"Cyber Security Analyst","Amazon","Delhi","Part-time","650000.0","5-10 years","2024-12-31","Indeed","B.Sc","UI/UX, AWS, Python","Onsite","Small (1-50)"
"Marketing Executive","HCL","Pune","Part-time","1000000.0","2-5 years","2025-01-22","Indeed","B.Sc","SQL, C++, Digital Marketing","Hybrid","Medium (51-500)"
"Data Scientist","TCS","Chennai","Internship","650000.0","5-10 years","2024-12-29","Indeed","PhD","AWS, Python, Java","Onsite","Small (1-50)"
"Data Scientist","Google","Jaipur","Internship","650000.0","0-2 years","2025-01-10","Naukri.com","B.Tech","AWS, React, Digital Marketing","Remote","Medium (51-500)"
"Sales Representative","HCL","Mumbai","Part-time","2000000.0","5-10 years","2025-01-14","Indeed","PhD","Machine Learning, Excel, SQL","Hybrid","Large (500+)"
"Data Scientist","Accenture","Hyderabad","Full-time","2000000.0","5-10 years","2024-12-25","Naukri.com","B.Sc","UI/UX, AWS, C++","Hybrid","Medium (51-500)"
"Marketing Executive","IBM","Mumbai","Full-time","400000.0","5-10 years","2024-12-27","Indeed","M.Tech","Java, SQL, C++","Remote","Large (500+)"
"Graphic Designer","Microsoft","Mumbai","Part-time","650000.0","5-10 years","2024-12-24","Indeed","B.Sc","Java, React, C++","Onsite","Medium (51-500)"
"Data Scientist","TCS","Chennai","Full-time","650000.0","10+ years","2025-01-08","LinkedIn","PhD","Python, Excel, Java","Remote","Large (500+)"
"Graphic Designer","Deloitte","Pune","Part-time","650000.0","10+ years","2024-12-28","Naukri.com","B.Tech","Java, Excel, SQL","Hybrid","Small (1-50)"
"Software Engineer","Accenture","Chennai","Full-time","2000000.0","10+ years","2024-12-31","LinkedIn","M.Tech","Machine Learning, React, Java","Onsite","Large (500+)"
"Marketing Executive","Accenture","Chennai","Full-time","2000000.0","10+ years","2025-01-14","Indeed","M.Tech","Machine Learning, Digital Marketing, SQL","Onsite","Small (1-50)"
"Graphic Designer","Amazon","Delhi","Full-time","2000000.0","0-2 years","2025-01-03","LinkedIn","PhD","SQL, React, AWS","Hybrid","Medium (51-500)"
"Software Engineer","Accenture","Pune","Part-time","650000.0","10+ years","2025-01-05","Indeed","PhD","UI/UX, Python, SQL","Hybrid","Medium (51-500)"
"Business Analyst","Deloitte","Kolkata","Part-time","400000.0","2-5 years","2025-01-04","Naukri.com","PhD","Excel, Digital Marketing, UI/UX","Onsite","Medium (51-500)"
"HR Manager","TCS","Chennai","Internship","1000000.0","2-5 years","2025-01-01","Naukri.com","MBA","Digital Marketing, AWS, Excel","Remote","Small (1-50)"
"HR Manager","Microsoft","Ahmedabad","Internship","1600000.0","10+ years","2024-12-25","LinkedIn","B.Tech","C++, UI/UX, Machine Learning","Remote","Large (500+)"
"Cyber Security Analyst","Infosys","Hyderabad","Internship","400000.0","5-10 years","2024-12-24","Naukri.com","B.Sc","React, Digital Marketing, Excel","Onsite","Small (1-50)"
"Financial Analyst","Microsoft","Noida","Contract","1600000.0","2-5 years","2024-12-31","Naukri.com","M.Tech","UI/UX, Digital Marketing, SQL","Remote","Medium (51-500)"
"Data Scientist","Microsoft","Pune","Internship","1600000.0","0-2 years","2024-12-26","Naukri.com","M.Tech","Excel, AWS, React","Remote","Small (1-50)"
"Financial Analyst","IBM","Bangalore","Internship","2000000.0","2-5 years","2024-12-27","LinkedIn","B.Tech","Digital Marketing, C++, Machine Learning","Remote","Small (1-50)"
"Cyber Security Analyst","TCS","Chennai","Internship","400000.0","0-2 years","2025-01-03","Naukri.com","B.Sc","Machine Learning, Python, AWS","Onsite","Small (1-50)"
"Product Manager","TCS","Ahmedabad","Full-time","2000000.0","10+ years","2025-01-04","Naukri.com","B.Sc","C++, Python, SQL","Remote","Large (500+)"
"Graphic Designer","IBM","Ahmedabad","Internship","1600000.0","0-2 years","2025-01-19","LinkedIn","MBA","AWS, Python, Machine Learning","Hybrid","Large (500+)"
"Marketing Executive","IBM","Hyderabad","Part-time","1000000.0","0-2 years","2024-12-31","LinkedIn","PhD","UI/UX, React, SQL","Onsite","Medium (51-500)"
"Business Analyst","Infosys","Noida","Full-time","1000000.0","2-5 years","2025-01-22","LinkedIn","B.Sc","Python, C++, Java","Remote","Medium (51-500)"
"HR Manager","Accenture","Delhi","Internship","2000000.0","10+ years","2024-12-25","LinkedIn","M.Tech","SQL, React, UI/UX","Onsite","Large (500+)"
"Data Scientist","Wipro","Delhi","Full-time","1000000.0","2-5 years","2025-01-14","Naukri.com","B.Tech","Excel, UI/UX, Java","Hybrid","Medium (51-500)"
"Sales Representative","Amazon","Pune","Internship","1600000.0","5-10 years","2024-12-24","Indeed","B.Tech","Machine Learning, Python, Java","Onsite","Medium (51-500)"
"Data Scientist","Wipro","Bangalore","Full-time","2000000.0","10+ years","2025-01-04","LinkedIn","M.Tech","Excel, Machine Learning, C++","Remote","Large (500+)"
"Marketing Executive","HCL","Bangalore","Internship","1000000.0","0-2 years","2025-01-19","Indeed","B.Sc","Machine Learning, Java, Excel","Remote","Medium (51-500)"
"HR Manager","TCS","Chennai","Internship","1600000.0","2-5 years","2025-01-06","LinkedIn","PhD","Java, Digital Marketing, Python","Hybrid","Medium (51-500)"
"HR Manager","HCL","Mumbai","Contract","650000.0","5-10 years","2025-01-11","Indeed","B.Tech","SQL, Excel, Machine Learning","Onsite","Small (1-50)"
"HR Manager","Wipro","Bangalore","Part-time","1000000.0","2-5 years","2025-01-15","Naukri.com","B.Sc","Machine Learning, Java, Python","Hybrid","Medium (51-500)"
"Business Analyst","HCL","Jaipur","Contract","1600000.0","5-10 years","2025-01-17","LinkedIn","MBA","Python, Digital Marketing, Java","Remote","Large (500+)"
"Financial Analyst","Google","Jaipur","Full-time","400000.0","0-2 years","2024-12-31","Naukri.com","M.Tech","Python, AWS, Java","Hybrid","Large (500+)"
"Product Manager","Amazon","Jaipur","Internship","400000.0","0-2 years","2025-01-14","Indeed","PhD","Excel, Python, UI/UX","Hybrid","Medium (51-500)"
"Data Scientist","HCL","Chennai","Part-time","650000.0","5-10 years","2024-12-28","LinkedIn","MBA","Python, Machine Learning, UI/UX","Remote","Small (1-50)"
"HR Manager","Amazon","Ahmedabad","Contract","1600000.0","2-5 years","2024-12-24","Indeed","B.Sc","SQL, Java, Excel","Remote","Small (1-50)"
"Financial Analyst","Google","Delhi","Internship","2000000.0","5-10 years","2025-01-02","Naukri.com","B.Sc","React, AWS, Excel","Onsite","Medium (51-500)"
"Marketing Executive","Wipro","Ahmedabad","Part-time","2000000.0","2-5 years","2025-01-15","Indeed","B.Tech","Machine Learning, Excel, SQL","Hybrid","Medium (51-500)"
"Business Analyst","Wipro","Pune","Part-time","400000.0","10+ years","2024-12-29","Naukri.com","MBA","Java, React, Python","Hybrid","Medium (51-500)"
"HR Manager","IBM","Pune","Part-time","1600000.0","0-2 years","2024-12-23","Naukri.com","B.Sc","Excel, Java, Machine Learning","Onsite","Medium (51-500)"
"Sales Representative","Deloitte","Hyderabad","Part-time","2000000.0","5-10 years","2025-01-16","Indeed","PhD","Machine Learning, AWS, SQL","Hybrid","Medium (51-500)"
"Sales Representative","Infosys","Delhi","Full-time","2000000.0","0-2 years","2025-01-11","Indeed","B.Sc","UI/UX, Digital Marketing, C++","Onsite","Medium (51-500)"
"Product Manager","Accenture","Mumbai","Full-time","1600000.0","5-10 years","2025-01-11","Indeed","M.Tech","Machine Learning, UI/UX, Excel","Hybrid","Large (500+)"
